energy_kcal,energy_kj,carbohydrates,sugars,fat,saturated_fat,proteins,fiber,salt,sodium,nova_group,nutrition_score,fruits_veg_nuts_percent,brands,code,product_name
0.0,20.0,42.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,Sidi Ali,6111035000430,Sidi Ali
97.0,406.0,9.4,,3.0,,8.0,,,,3.0,,0.0,Jaouda,6111242100992,Perly
,,,,,,,,65.0,26.0,,0.0,0.0,sidi ali,6111035002175,Sidi Ali
,,,,,,,,65.0,26.0,1.0,0.0,0.0,"Les Eaux Minérales d'oulmès,Sidi Ali",6111035000058,Eau minérale naturelle
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00508,0.002032,,0.0,0.0,AQUAFINA,6111252421568,اكوافينا
45.0,188.0,4.9,0.0,1.5,1.0,3.1,,0.225,0.09,3.0,-3.0,0.0,Jaouda,6111266962187,Lait
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,21.0,1.0,0.0,0.0,Cristaline,3274080005003,Eau De Source
80.6,337.0,6.1,0.0,12.0,0.0,7.3,0.0,0.0,0.0,3.0,-2.0,0.0,MILKY FOOD PROFESSIONAL,6111246721261,Fromage blanc nature
58.0,,4.8,0.0,3.0,0.0,3.0,,0.0,0.0,1.0,-1.0,0.0,Jaouda,6111242101180,uht jaouda 1L
235.0,984.0,3.5,0.0,21.0,15.0,8.0,0.0,0.46,0.184,4.0,11.0,0.0,Jaouda,6111242106949,Jben
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Danone,6111128000071,Ain Saïss
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Ain atlas,6111035502828,Eau minéral naturelle
0.0,,0.0,0.0,0.0,0.0,0.0,,0.0065,0.0026,,0.0,0.0,Sidi Ali,6111035000027,6111035000027
260.0,1100.0,30.0,1.2,0.5,0.1,34.0,,10.8,4.32,4.0,23.0,0.734863281249993,"Marmite,Unilever",50184453,Marmite Yeast Extract
101.0,,4.2,0.0,6.0,0.0,7.6,0.0,0.0,0.0,1.0,-2.0,0.0,Jaouda,6111242100985,
45.0,,4.8,0.0,1.5,1.0,3.0,,0.0,0.0,1.0,-3.0,0.0,centrale danone,6111032009665,Lait Frais
675.0,,0.2,0.0,75.0,34.0,0.1,0.0,0.5,0.2,,18.0,0.0,lilia,6111099003897,
42.0,180.0,10.6,10.6,0.0,0.0,0.0,,0.0,0.0,4.0,12.0,0.0,Coca-Cola,5449000054227,Original Taste
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,pepsi,6111252421582,اكوافينا
467.0,1962.0,69.0,32.0,17.0,5.6,6.3,4.0,0.49,0.196,4.0,20.0,6.80681818181818,Lu,7622210449283,Prince Goût Chocolat
592.0,,14.0,2.0,55.0,10.0,10.0,5.0,,,3.0,,0.0,Lindt&Sprüngli,3046920029759,Lindt Excellence 90%
566.0,2350.0,34.0,30.0,41.0,24.0,9.5,,0.1,0.04,3.0,25.0,0.0,Lindt,3046920028004,Excellence 70% Cocoa Intense Dark
,,,,,,,,0.78375,0.3135,,0.0,0.0,Les eaux minérales d'Oulmès S.A.,6111035003035,Oulmes natural carbonated water
539.0,2252.0,57.5,56.3,30.9,10.6,6.3,,0.107,0.0428,4.0,31.0,13.0,Ferrero,3017620425035,Nutella
39.0,165.0,9.3,17.0,0.0,0.0,0.0,5.0,0.126,0.0504,4.0,15.0,22.7272727272727,Coca cola,5449000147417,Orange juice
116.0,487.0,16.5,9.2,5.1,2.5,1.0,0.1,0.05,0.02,2.0,28.0,0.0,Bimo,6111031005064,Tonik
183.0,766.0,43.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,,6111180000231,levure pâtisserie
0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,Danone,6111128000163,Ain Saiss Eau Minerale Naturelle
467.0,1961.0,64.0,17.0,18.0,2.0,10.0,4.6,0.38,0.152,4.0,9.0,10.8,Gerblé,3175680011480,Sésame
250.0,1062.0,61.33,63.0,0.3,,0.5,,,,3.0,,75.0,Délicia,6111162000839,Confiture de fraise
,,,,,,,,0.0,0.0,,0.0,0.0,Eau minérale naturelle des Montagnes d'Atlas,6111035001659,Ain Atlas
78.5,330.0,8.0,0.0,3.3,2.4,4.2,0.0,0.0,0.0,3.0,1.0,0.0,Jaouda,6111242100206,Yaourt nature
431.0,1802.0,65.0,0.5,17.0,1.7,6.1,9.3,0.65,0.26,4.0,2.0,0.0,Gullón,8410376009392,zero sin azúcares Fibra
584.0,2418.0,22.0,14.0,46.0,27.0,12.5,,0.02,0.008,3.0,20.0,0.0,Lindt,3046920028363,Excellence 85% Cacao Rich Dark
0.0,,0.0,0.0,0.0,0.0,0.0,,120.0,48.0,,0.0,0.0,Eau minérale naturelle,6111035001635,Ain Atlas
592.0,2435.4,0.22,0.05,65.21,9.8,1.12,,1.75,0.7,4.0,12.0,0.0,Star,6111184004129,Mayonnaise recette originale
230.0,,44.1,2.4,0.8,0.1,10.1,2.9,0.905,0.362,3.0,2.0,0.0,Jason’s,5025125000006,Sourdough White Ciabattin Bread
