code,product_name,brands,sugars
3400938267266,Unknown,Pipas de la casa,895.0
3088543506255,Sirop d'Agave,Sunny Via,395.0
26034461,Sirop d’agave,Simplement Bon et Bio,105.0
6111029000118,Cosumar Sucre En Lingot Pour Le Thé 1 kg,COSUMAR,100.0
6111029000293,enmer,كوسومار,100.0
3165433724019,Cassonade pure canne,Daddy,100.0
3174660084513,Cassonade,"Béghin Say,La Perruche,Tereos",100.0
6111029000415,Cosumar Sucre Granule - Granulated Sugar,Unknown,100.0
3165433864012,Profil pack pure canne bio kraft daddy 750g,Daddy,100.0
3165433714010,Sucre en poudre,Daddy,100.0
3174660032316,sucre Roux en morceaux,Béghin Say,100.0
3174660084612,Sucre,"Beghin say, Tereos",100.0
3174660000896,Sucre Poudre,Béghin SayTereos,100.0
5010067301502,Granulated Sugar,Silver Spoon,100.0
3174660024991,sucre cassonade,begin say,100.0
3220035175000,Pack Sucre en Poudre 650g,Saint louis,100.0
3220035150007,Etui Bec Verseur Sucre en Poudre Saint Louis Sucre 1kg,Saint louis,100.0
3560070339617,sucre,"Carrefour,Simply",100.0
3165430501002,Sucre Cassonnade,Daddy,100.0
3410280012285,Sucre sachet Poudre 1 Kg,Top budget,100.0
3179142054589,Levure de boulanger traditionnelle,Vahiné,100.0
5010067349504,British Icing Sugar,Silver Spoon,100.0
3564706662957,Sucre en poudre blanc,Tablier Blanc,100.0
3250392946999,Sucre de canne en poudre 750g doypack,Chabrior,100.0
3220035229000,Pack Cassonade Saint Louis 650g,Saint louis,99.0
3220035210008,Sucre Cassonade,Saint louis,99.0
3564700659076,Cassonade pure canne,"Marque Repère, Tablier Blanc",99.0
3560071462864,Cassonade,Carrefour,99.0
3220035217007,Sucre cassonade,Saint louis,99.0
3220032510002,208 Morceaux Blancs Tutti Free 290g,"Saint Louis Sucre, Saint-Louis, Tutti free",99.0
20711115,cassonade,"Lidl, navarre",98.9
3664346306539,230G VICHY MENTHE,Vichy,98.5
3179140123805,Sucre Vanillé,Vahiné,98.2
3165432640006,Sucre de glace,Daddy,98.0
3760091720207,Sucre complet de canne,Ethiquable,96.0
3700214610480,Sucre Cmplet Muscovado,Alter Eco,95.0
8000500166697,Bonbons Tic Tac x110 pastilles MENTHE - 54g,"Ferrero,Mixte,TIC TAC",94.5
80052043,TIC TAC Fresh Mint,tictac,94.5
4008400395029,Unknown,Tic Tac,94.5
5038695000505,Organic Coconut Sugar,The Groovy Food Company,94.07
8722700030119,Sucre vanillé x 12 sachets,"Alsa,Unilever",94.0
8480000198594,Panela,Hacendado,94.0
3560071411824,Sucre fleurs de coco,"Carrefour BIO, Carrefour",93.0
3011360030108,Sucre Vanillé des Isles,Alsa,93.0
8000500166758,Bonbons Tic Tac x110 pastilles MENTHE EXTRA FRAÎCHE - 54g,"Ferrero, TIC TAC",90.7
3165437010101,Sucre de Fleur de Coco Bio,Daddy,90.0
3329757002790,Sucralose,"Canderel, Merisant",90.0
6111180000392,Unknown,Idéal,89.4
6111180000668,Ideal Aroma Caramel Flan,Unknown,89.4
3250392868680,Sucre de fleur de coco bio,Regain,86.15
6111180007339,Unknown,Unknown,86.1
4056489519928,Manuka Honey,Lidl,85.9
5011273005444,Supahoney : Manuka + Honey + Vitamin C,Rowse,85.9
3103220006603,Unknown,Haribo,83.0
5052909732600,Squeezy Honey,Tesco,82.4
5057545952931,Clear Honey,Tesco,82.4
4056489774747,Unknown,MCENNEDY,82.3
4056489787136,Dark Maple Syrup,Aldi,82.0
5054781025115,Honey,Asda,82.0
20177492,Sciroppo d'acero canadese,McEnnedy,81.5
5000119004475,Tesco Pure Clear Honey 454G,Tesco,81.0
20436568,Clear Honey,"Highgate Fayre, Lidl",81.0
5051140109882,Tesco Organic Squeezy Clear Honey,Tesco,81.0
5000119120656,Tesco Set Honey,Tesco,81.0
5011273040698,Runny Honey imp,Rowse,80.8
5011273024650,Honey,Rowse,80.8
1789621,Runny Honey,Sainsbury's,80.8
5011273040339,Organic Honey,Rowse,80.8
5011273044719,Light & Mild Honey,Rowse,80.8
5011273044757,Honey,Rowse,80.8
5011273000678,Runny Honey,Rowse,80.8
5011273040209,Organic honey,Rowse,80.8
819268,Pure Honey,"Simply M&S,Marks & Spencer",80.8
369626,Clear Honey,By Sainsbury's,80.8
1292619,Basics Clear Honey,"Sainsbury's, Sainsbury's basics",80.8
5011273024605,Runny Honey,Rowse,80.8
3175681213807,Galette maïs chocolat au lait,Gerblé,80.1282051282051
3088540004440,Tartimiel® Lune de Miel® doseur 250 g,Lune de Miel,80.0
3088545004001,Miel de Fleurs Liquide Doseur 500g,Lune de Miel,80.0
7622201695323,Halls,Mondelez,80.0
3088540255279,Miel de Fleurs BIO liquide Doseur 500g,Lune de miel,80.0
3088545004018,Miel,"Family Michaud, lune de miel",80.0
3270190005100,Sirop de grenadine,"Carrefour, Groupe Carrefour",80.0
3564707108089,Bio village - Miel de Fleurs,"Bio Village, Marque Repère",80.0
3088541012697,Miel,Lune de Miel,80.0
3088541001417,Miel de fleurs,Famille Michaud,80.0
3272036008283,Sirop pêche-abricot,Moulin de Valdonne,80.0
6111017007013,Caobel,Aiguebelle,79.9
4088600225425,Canadian Maple Syrup,Specially Selected,79.8
20574093,Runny Honey,Highgate Fayre,79.7
4056489710066,Runny Honey,lidl,79.7
6111180000194,Chocao,Unknown,79.5
5425600101370,Miel,Bee’s,79.3
3088542506508,Sirop d'agave,Sunny Bio,79.0
8480000154309,Miel de flores,Hacendado,79.0
5010115902941,Lyle's Golden Syrup,Abram Lyle & Sons,79.0
8480000154361,Miel de Flores,Hacendado,79.0
3088542506256,Sirop d'agave,Sunny Bio,79.0
4056489647799,Golden Syrup,Belbake,79.0
245128,Golden Syrup,By Sainsbury's,79.0
