code,product_name,brands,sugar_to_carb_ratio
5000442007617,Frylight Sunflower Oil Spray 190ml,Frylight,51249.99999999999
41500007229,Mostassa groga clàssica,French's,8723.404255319148
20002329,Emmental Milbona,Milbona,40.99999999999999
6111184003283,Assaisonnement au citron,Star,29.28571428571428
8402001021428,"Gelatina 0% cereza, cola y sandía",HACENDADO,20.499999999999996
8480000511263,Mozzarella,Hacendado,19.523809523809522
20087487,Spanish Ham Jamón Serrano,Dulano,13.666666666666666
20139346,Beurre Doux Extrafin,Envia / Lidl,10.0
6111250473453,Vip crema gold,VIP,8.2
3024720026895,Rillettes de poulet rôti,Bordeau chesnel,8.2
769503575261,Filets De Maquereaux À L’huile Végétale,Marsa,8.2
20043384,Filets de maquereaux aux vin blanc et aux aromates,Nixe,8.2
5711953090875,Puck,Arla Foods,8.2
6111245343556,Camembert gran coeur,Unknown,8.2
6194043001095,Beurre,Délice,8.2
8480000183101,pac 2 latas  Filetes de caballa del sur en aceite de oliva,HACENDADO,7.592592592592592
6111162000402,Miettes de Maquereaux,Joly,6.833333333333333
6111263000202,Delfy,delfy,6.833333333333333
8480000566522,Tiras de pechuga de pollo al horno,Hacendado,6.833333333333333
85696608044,Mori-Nu Shelf Stable Silken Tofu Firm,Morinaga,6.833333333333333
6111259344129,Sergio,excelo,6.682926829268293
6111260550670,Filet De Sardines,Marine,5.857142857142857
7622201695323,Halls,Mondelez,5.298013245033113
6111248410378,Unknown,Unknown,5.189873417721518
5051898663902,Vegetable stock cubes,Tesco,5.124999999999999
5060337501316,Monster energy ultra white,Monster Energy,4.555555555555555
6111184000244,El Baraka,vmm,4.3742857142857146
12301218,Unknown,Excelo,4.172185430463577
6111203007377,Unknown,Unknown,4.1
5010292961182,Raw kimchi,Vadasz,4.1
8480000511973,FETA (denominación de origen protegida),Hacendado,4.1
5051140455736,Greek Feta,Tesco,4.1
3456700013005,Truite des Pyrénées fumée,Pêcheries Basques,4.0
769503575445,Sardine à l’huile végétale,Marsa,3.4166666666666665
769503575469,Unknown,Marsa,3.4166666666666665
5060362071600,Cashew Milk,Plenish,3.4166666666666665
6111242380677,Tchicolata,Unknown,3.3112582781456954
3449865367250,Viande des GRISONS,Aoste,2.733333333333333
6291003084881,Brio,Priccadeli,2.6646706586826348
8480000505460,Havarti light,HACENDADO,2.5624999999999996
3019089042242,Rillettes de saumon et de thon,PETIT NAVIRE,2.2777777777777777
8480000909336,Mantequilla,Hacendado,2.1578947368421053
16843698748,Unknown,Dakota,2.05
20971496,Prosciutto cotto,Dulano,2.05
20465384,Pilos Cottage Cheese light 3%,Pilos,2.0
5449000147417,Orange juice,Coca cola,1.8279569892473118
6111259344051,Unknown,Unknown,1.8266666666666667
8901030921797,kissan fresh tomato,"Kissan,Unilever",1.7806451612903227
5000159559003,Unknown,Snickers,1.6556291390728477
8480000512345,Cuatro quesos,Hacendado,1.64
