code,sugar_to_carb_ratio,calorie_category,sugar_category,is_ultra_processed
6111035000430,0.333333333333333,Low,Moderate Sugar,Yes
6111242100992,0.436170212765957,Low,Low Sugar,No
6111035002175,0.271523178807947,High,Low Sugar,Yes
6111035000058,0.271523178807947,High,Low Sugar,No
6111252421568,-1.0,Low,Low Sugar,Yes
6111266962187,0.0,Low,Low Sugar,No
3274080005003,-1.0,Low,Low Sugar,No
6111246721261,0.0,Low,Low Sugar,No
6111242101180,0.0,Low,Low Sugar,No
6111242106949,0.0,High,Low Sugar,Yes
6111128000071,-1.0,Low,Low Sugar,No
6111035502828,-1.0,Low,Low Sugar,Yes
6111035000027,-1.0,Low,Low Sugar,Yes
50184453,0.04,High,Low Sugar,Yes
6111242100985,0.0,Moderate,Low Sugar,No
6111032009665,0.0,Low,Low Sugar,No
6111099003897,0.0,High,Low Sugar,Yes
5449000054227,1.0,Low,Moderate Sugar,Yes
6111252421582,-1.0,Low,Low Sugar,No
7622210449283,0.463768115942029,High,High Sugar,Yes
3046920029759,0.142857142857143,High,Low Sugar,No
3046920028004,0.882352941176471,High,High Sugar,No
6111035003035,0.271523178807947,High,Low Sugar,Yes
3017620425035,0.979130434782609,High,High Sugar,Yes
5449000147417,1.82795698924731,Low,High Sugar,Yes
6111031005064,0.557575757575758,Moderate,Moderate Sugar,No
6111180000231,0.0,Moderate,Low Sugar,Yes
6111128000163,-1.0,Low,Low Sugar,Yes
3175680011480,0.265625,High,High Sugar,Yes
6111162000839,1.02722974074678,High,High Sugar,No
6111035001659,0.271523178807947,High,Low Sugar,Yes
6111242100206,0.0,Low,Low Sugar,No
8410376009392,0.00769230769230769,High,Low Sugar,Yes
3046920028363,0.636363636363636,High,Moderate Sugar,No
6111035001635,-1.0,Low,Low Sugar,Yes
6111184004129,0.227272727272727,High,Low Sugar,Yes
5025125000006,0.054421768707483,High,Low Sugar,No
5411188112709,-1.0,Low,Low Sugar,Yes
6111128000460,0.271523178807947,High,Low Sugar,No
20995553,0.602803738317757,High,Moderate Sugar,Yes
3268840001008,-1.0,Low,Low Sugar,No
3017620422003,0.979130434782609,High,High Sugar,Yes
5025125000112,0.0430622009569378,Moderate,Low Sugar,No
20005733,0.810810810810811,High,Low Sugar,No
5025125000037,0.0362694300518135,Moderate,Low Sugar,No
6111203006653,1.0,High,Moderate Sugar,Yes
20724696,1.0,High,Low Sugar,No
6111184001562,-1.0,High,Low Sugar,No
6111184004730,0.870038910505837,Moderate,High Sugar,Yes
6111029000118,1.0,High,High Sugar,Yes
20267605,0.284745762711864,Moderate,Low Sugar,Yes
3362600011044,0.316923105088753,High,High Sugar,Yes
6111032001003,0.642857142857143,Low,Moderate Sugar,Yes
6111032000600,0.854166666666667,Low,Low Sugar,No
5449000214911,1.0,Low,Moderate Sugar,Yes
6111242100305,0.118343195266272,Moderate,Low Sugar,Yes
5449000061515,-1.0,Low,Low Sugar,No
42104964,-1.0,Low,Low Sugar,Yes
8425197712024,0.943396226415094,High,High Sugar,Yes
6111128000088,-1.0,Low,Low Sugar,No
6111246721278,0.0,High,Low Sugar,No
5740900404465,1.0,High,Low Sugar,No
6111035003523,-1.0,Low,Low Sugar,No
6111035003004,-1.0,Low,Low Sugar,Yes
7622210578464,0.805555555555556,High,High Sugar,No
6111246954461,0.570032573289902,Moderate,Low Sugar,Yes
6111259343108,0.520325203252033,High,High Sugar,Yes
6111018903161,0.271523178807947,High,Low Sugar,Yes
6111032006619,0.725806451612903,Low,Moderate Sugar,Yes
6111251420166,-1.0,Low,Low Sugar,No
6111252421575,1.0,Low,Low Sugar,No
8445290615350,0.578947368421053,Low,Low Sugar,Yes
5449000214799,-1.0,Low,Low Sugar,Yes
3362600011228,0.32258064516129,Moderate,Moderate Sugar,Yes
5000157024671,0.27741935483871,Low,Low Sugar,Yes
6111035001673,-1.0,Low,Low Sugar,No
20047238,0.65625,High,Low Sugar,No
5411188124689,0.0,Low,Low Sugar,Yes
7394376616228,0.47887323943662,Low,Low Sugar,No
6111250470742,0.854166666666667,Low,Low Sugar,No
6111203001467,0.0,High,Low Sugar,Yes
7300400481595,0.0161290322580645,High,Low Sugar,No
3046920022651,0.857142857142857,High,High Sugar,No
6111037000599,0.0,High,Low Sugar,Yes
6111184001661,1.0,Low,Low Sugar,No
6111032008583,0.615384615384615,Moderate,Moderate Sugar,Yes
8052575090230,0.944444444444444,High,High Sugar,Yes
3608580065340,0.962264150943396,High,High Sugar,Yes
5060042641000,0.0130612244897959,High,Low Sugar,No
5010029000016,0.0615384615384615,Moderate,Low Sugar,No
7622210584724,0.0,High,Low Sugar,No
3057640257773,-1.0,Low,Low Sugar,No
6111162001218,1.0,Moderate,Low Sugar,No
3046920022606,0.681818181818182,High,Moderate Sugar,No
3155251205296,-1.0,High,Low Sugar,Yes
6111251753912,0.264367816091954,Low,Low Sugar,Yes
6111248360130,-1.0,Low,Low Sugar,Yes
6111003031107,0.266666666666667,Moderate,Low Sugar,No
3229820100234,0.415384615384615,High,High Sugar,Yes
6111184001074,0.984126984126984,High,High Sugar,Yes
20022464,0.8125,Moderate,Moderate Sugar,Yes
5449000206770,-1.0,High,Low Sugar,Yes
6111184001197,-1.0,High,Low Sugar,Yes
3760020507350,0.425,High,Moderate Sugar,No
5449000036872,0.95,Low,Moderate Sugar,Yes
6111242100220,0.875,Low,Low Sugar,No
8715035110106,0.2,Low,Low Sugar,No
3329770077003,1.0,Low,Low Sugar,No
5013665100065,0.0,Low,Low Sugar,No
6111184000619,0.227272727272727,High,Low Sugar,Yes
6923818812082,0.4,Low,Low Sugar,Yes
3760049798609,0.113513513513514,High,Low Sugar,Yes
6111099000599,-1.0,High,Low Sugar,No
8052575090254,0.944444444444444,High,High Sugar,Yes
5025125000129,0.0580357142857143,High,Low Sugar,No
7300400481588,0.0425531914893617,High,Low Sugar,No
7311070032611,0.0161764705882353,High,Low Sugar,Yes
3029330022428,0.0904761904761905,High,Low Sugar,Yes
3362600011006,0.316923076923077,High,High Sugar,Yes
6111162000716,0.742280285035629,High,High Sugar,No
8076809513753,0.454545454545455,High,Low Sugar,Yes
5411188110835,1.0,Low,Low Sugar,Yes
3168930010265,0.210526315789474,High,Moderate Sugar,Yes
6111259341197,0.385714285714286,High,High Sugar,Yes
16256163,0.983333333333333,High,High Sugar,Yes
6111184007618,0.76555023923445,High,High Sugar,Yes
50457236,0.971428571428571,Low,Low Sugar,No
5410041001204,0.105970149253731,High,Moderate Sugar,Yes
6111251420135,0.271523178807947,Low,Low Sugar,No
6111180000392,0.915983606557377,High,High Sugar,No
3017620429484,0.979130434782609,High,High Sugar,Yes
6111031005552,0.709090909090909,High,High Sugar,Yes
8000500310427,0.559375,High,High Sugar,Yes
6111032001010,0.642857142857143,Low,Moderate Sugar,Yes
6111099005396,0.0,High,Low Sugar,Yes
16256866,0.968253968253968,High,High Sugar,Yes
6111206000733,0.0,High,Low Sugar,Yes
6111184000213,0.826446280991736,High,High Sugar,Yes
8002270014901,-1.0,Low,Low Sugar,No
59032823,0.979130434782609,High,High Sugar,Yes
6111018501480,1.0,Low,Low Sugar,Yes
